Unnamed: 0,CAMPTOTHECIN (GDSC2:1003),VINBLASTINE (GDSC2:1004),CISPLATIN (GDSC2:1005),CYTARABINE (GDSC2:1006),DOCETAXEL (GDSC2:1007),GEFITINIB (GDSC2:1010),NAVITOCLAX (GDSC2:1011),VORINOSTAT (GDSC2:1012),NILOTINIB (GDSC2:1013),OLAPARIB (GDSC2:1017),AXITINIB (GDSC2:1021),AZD7762 (GDSC2:1022),SB 216763 (GDSC2:1025),KU-55933 (GDSC2:1030),AFATINIB (GDSC2:1032),PLX-4720 (GDSC2:1036),KU-57788 (GDSC2:1038),DORAMAPIMOD (GDSC2:1042),WEE1 INHIBITOR (GDSC2:1046),NUTLIN-3 (GDSC2:1047),MIRIN (GDSC2:1048),PD-173074 (GDSC2:1049),ZM 447439 (GDSC2:1050),ALISERTIB (GDSC2:1051),RO-3306 (GDSC2:1052),MK-2206 (GDSC2:1053),PALBOCICLIB (GDSC2:1054),NVP-BEZ235 (GDSC2:1057),GDC-0941 (GDSC2:1058),AZD8055 (GDSC2:1059),PD-0325901 (GDSC2:1060),OBATOCLAX (GDSC2:1068),5-FLUOROURACIL (GDSC2:1073),DASATINIB (GDSC2:1079),PACLITAXEL (GDSC2:1080),CRIZOTINIB (GDSC2:1083),WY-090217 (GDSC2:1084),SORAFENIB (GDSC2:1085),BI-2536 (GDSC2:1086),IRINOTECAN (GDSC2:1088),OXALIPLATIN (GDSC2:1089),BMS-536924 (GDSC2:1091),GSK1904529A (GDSC2:1093),TOZASERTIB (GDSC2:1096),PF-4708671 (GDSC2:1129),APR-246 (GDSC2:1131),ERLOTINIB (GDSC2:1168),NIRAPARIB (GDSC2:1177),MK-1775 (GDSC2:1179),DINACICLIB (GDSC2:1180),GEMCITABINE (GDSC2:1190),BORTEZOMIB (GDSC2:1191),GSK 269962A (GDSC2:1192),SB 505124 (GDSC2:1194),TAMOXIFEN (GDSC2:1199),FULVESTRANT (GDSC2:1200),EPZ004777 (GDSC2:1237),YK-4-279 (GDSC2:1239),FK-866 (GDSC2:1248),BMS-345541 (GDSC2:1249),AZ960 (GDSC2:1250),TALAZOPARIB (GDSC2:1259),XAV 939 (GDSC2:1268),TRAMETINIB (GDSC2:1372),DABRAFENIB (GDSC2:1373),TEMOZOLOMIDE (GDSC2:1375),RUXOLITINIB (GDSC2:1507),LINSITINIB (GDSC2:1510),EPIRUBICIN (GDSC2:1511),CYCLOPHOSPHAMIDE (GDSC2:1512),PEVONEDISTAT (GDSC2:1529),AZD8931 (GDSC2:1549),UPROSERTIB (GDSC2:1553),LCL-161 (GDSC2:1557),LAPATINIB (GDSC2:1558),AUY922 (GDSC2:1559),ALPELISIB (GDSC2:1560),TASELISIB (GDSC2:1561),EPZ-5676 (GDSC2:1563),CS-1421 (GDSC2:1564),WNT INHIBITOR IWP-2 (GDSC2:1576),LEFLUNOMIDE (GDSC2:1578),ENTINOSTAT (GDSC2:1593),OSI-027 (GDSC2:1594),LGK-974 (GDSC2:1598),VE-822 (GDSC2:1613),WZ4003 (GDSC2:1614),CZC24832 (GDSC2:1615),AZD5582 (GDSC2:1617),GSK2606414 (GDSC2:1618),AOB2221 (GDSC2:1620),PCI-34051 (GDSC2:1621),WNT-C59 (GDSC2:1622),I-BET-762 (GDSC2:1624),APABETALONE (GDSC2:1625),OTX015 (GDSC2:1626),AOB3680 (GDSC2:1627),ML-323 (GDSC2:1629),GS-9973 (GDSC2:1630),PRT062607 (GDSC2:1631),RIBOCICLIB (GDSC2:1632),AGI-6780 (GDSC2:1634),PICOLINATE (GDSC2:1635),AZD4547 (GDSC2:1786),IBRUTINIB (GDSC2:1799),ZOLEDRONIC ACID (GDSC2:1802),OXYPHENISATIN ACETATE (GDSC2:1804),OXALIPLATIN (GDSC2:1806),CARMUSTINE (GDSC2:1807),TOPOTECAN (GDSC2:1808),TENIPOSIDE (GDSC2:1809),MITOXANTRONE (GDSC2:1810),DACTINOMYCIN (GDSC2:1811),FLUDARABINE (GDSC2:1813),NELARABINE (GDSC2:1814),FULVESTRANT (GDSC2:1816),VINCRISTINE (GDSC2:1818),DOCETAXEL (GDSC2:1819),PODOPHYLLOTOXIN (GDSC2:1825),DIHYDROROTENONE (GDSC2:1827),GALLIBISCOQUINAZOLE (GDSC2:1830),ELEPHANTIN (GDSC2:1835),SINULARIN (GDSC2:1838),BI-97C1 (GDSC2:1849),LY2109761 (GDSC2:1852),OF-1 (GDSC2:1853),MN-64 (GDSC2:1854),GTPL8020 (GDSC2:1855),BDP-00009066 (GDSC2:1866),BUPARLISIB (GDSC2:1873),BVD-523 (GDSC2:1908),VENETOCLAX (GDSC2:1909),ABT-737 (GDSC2:1910),DACTINOMYCIN (GDSC2:1911),GSK2110183C (GDSC2:1912),AGI-5198 (GDSC2:1913),AZD3759 (GDSC2:1915),AZD5363 (GDSC2:1916),AZD6738 (GDSC2:1917),AZD8186 (GDSC2:1918),OSIMERTINIB (GDSC2:1919),CEDIRANIB (GDSC2:1922),GDC 0068 (GDSC2:1924),GDC 0810 (GDSC2:1925),GNE317 (GDSC2:1926),GSK2578215A (GDSC2:1927),I-BRD9 (GDSC2:1928),MST-312 (GDSC2:1930),MIRA-1 (GDSC2:1931),NVP-ADW742 (GDSC2:1932),P22077 (GDSC2:1933),SAVOLITINIB (GDSC2:1936),UMI-77 (GDSC2:1939),WIKI4 (GDSC2:1940),YM-155 (GDSC2:1941),MIM-1 (GDSC2:1996),WEHI-539 (GDSC2:1997),BPD-00008900 (GDSC2:1998),FORETINIB (GDSC2:2040),BIBR-1532 (GDSC2:2043),PYRIDOSTATIN (GDSC2:2044),AMG319 (GDSC2:2045),SCH-900776 (GDSC2:2046),BVD-523 (GDSC2:2047),VINORELBINE (GDSC2:2048),VX-11E (GDSC2:2096),UPROSERTIB (GDSC2:2106),LJI308 (GDSC2:2107),AZ6102 (GDSC2:2109),GSK3203591 (GDSC2:2110),VE 821 (GDSC2:2111),AZD6482 (GDSC2:2169),AT13148 (GDSC2:2170),BMS-754807 (GDSC2:2171),JQ1-(+) (GDSC2:2172)
ACH-000001,0.9671866317030516,0.6660622363041648,0.9779072114192192,,0.9229890948148732,0.9575855117291588,0.8678326935974099,0.9224779231327136,,0.9276709370571538,,0.7782580637339386,,,,,,,0.8956485206724499,0.9774513744483396,0.9677416046451774,,,,,0.8930334362360759,,0.8606831005467485,0.824376489161545,,,0.8709032807258867,0.9564644184305294,0.8627396601982389,0.9887602076990314,,0.9500297846279931,0.9187897555213708,,0.961314622664513,0.9634207043334362,0.8900983373355611,0.9395912652157224,,,0.9402836353513304,0.9062075015945944,,0.6864540639060248,0.7437436240495457,0.8287152083973023,0.8047643872085899,,,0.9144529674066092,0.956526625350168,0.9446507291072046,0.7939568771360512,,0.9262708568365507,0.932954192632494,0.9032012342001507,,0.9518131643425104,0.9961086496016988,,0.9520934378959724,0.9490289835906752,0.8595543691729086,0.9355481704099324,0.8490707222145883,0.9349565496019412,0.9434738156060842,0.9318185102903042,0.978765288709596,0.8260596263349863,0.9859998322301964,0.9120697969164212,,0.9355994651508128,,0.8940398608064456,0.985550315456014,,0.9222899692018568,,,,0.917443926760766,0.9525980708143088,,0.9634796641028374,0.959109393713765,0.9554987359003142,,0.8778813420408799,,0.9383522934408424,0.963989597937172,,,0.9374975477622756,,,0.9852836294937636,,0.5179094262145683,0.97886838485782,0.999083187713162,0.8835665632741388,0.92660382164472,0.9294331970573834,,0.9772770702909724,0.9929645889314148,0.9840148655597684,0.4942765233797343,0.5634581102451505,0.7999933862217239,0.7936308270915592,,0.942383696998506,0.9905772164873546,0.5815057476577529,0.9548116291483554,0.8929702528339334,0.9453105420115454,0.973661000788742,0.945860770094609,0.7999512991989868,0.8863865283967006,0.9259379539372208,0.8885179642394571,0.5137835239191636,0.8668974794783308,0.9278851769676968,0.9537410674008912,0.9170034797084082,0.8944007330901956,0.8337234797290844,0.9220483643290638,0.8813536708269649,0.9200066780008072,0.9040246795816174,0.7743579493827837,0.9832850486984844,0.9919667425074148,0.7511536237437311,,0.9765688203393204,0.9429377476212004,0.9232492861255744,0.8728863255567176,0.8765926806607146,0.1688551236644575,0.8936865793995781,0.9051589714432932,,0.8912658142934928,,0.9728896997059728,0.9465045912723966,0.9816549775834752,0.921288459022344,0.8400750308965226,0.9527434971443048,0.9106926185184177,,0.9201528055166118,,0.9637716026209242,,0.969584675670544,,
ACH-000002,0.7118663510627329,0.4870336894438774,0.8648629528886662,0.9006385087490295,0.8507848166078077,,0.6569585814090467,0.7018303564342208,0.9939559811628138,0.9883834177498168,,0.7452836421893764,,,0.918825751776122,0.9699382211799848,,,0.8182411595436131,0.9671158291465888,0.9620429459789736,,,0.7855836460476455,,0.9863899660161172,0.907082417401006,0.9508329492622396,0.7995065026402673,,0.7619791401073547,0.9208390921751364,0.904038210261304,0.9438141691978904,0.9754430161928525,,0.9627813175543892,0.7848033978974476,,0.787966008833921,0.8738816045124109,0.6998022967712576,0.951179133632878,,,0.9715982202805462,0.990897548897818,,0.7543923700496502,0.5099665670869573,0.5933945976349418,0.8057757378922975,,,0.9584180890552692,0.9982598548328604,0.9847388437213108,0.6707178506598928,,,0.7127718942552255,0.7694824540345825,0.9047938148297628,0.6385468920863341,,0.8987510611057495,0.8929188995380318,0.8678442705646703,0.6574835144995352,0.8561319703914987,0.5243033409125984,0.9524453240636735,0.8878403370082121,0.976477885574316,0.9475477365249604,,0.9346438802976244,0.8064612070399522,0.9644746903709832,0.7942996705061761,0.936572284547882,0.9175947820743052,0.77077749955175,,0.8755355688168002,0.9834658119538288,0.973266427028234,0.968606266554426,0.9018249596916628,0.9062735948842942,0.9522418568648372,0.9779400889544096,0.9132429639655056,0.7885286590769391,0.9656369750096668,0.6683472610782211,0.9533599365692148,0.9589664874872984,0.9368928019548752,0.8777014138460567,,0.9163562925676524,,,0.9788858997170125,0.9912744262715694,0.9576972638380932,0.9569122922766854,0.9790696570201036,0.7184601572225405,0.6633343884581951,0.65005585410974,0.9534587092206268,0.8248653251416291,,0.9549646630078028,0.3060179468057182,0.2549788808472056,0.7647207953825417,0.5433750473181169,,0.8570563809762096,0.96800118179491,0.8130444929342752,,0.8147568514197161,0.8969613964084231,,0.8222533656615651,0.7360893160528504,0.8129752418536166,0.4963771667357162,0.4053291408692768,0.3884029603285082,0.9401892891975352,0.9698680395378976,0.9750969902529918,0.9033742985877292,0.9139751157714864,0.8739466431024971,0.9710916172386262,0.8994041442572248,0.9144095208746992,0.78269079730952,0.7038878479993614,0.8545868473927956,0.9586481618975554,0.7023424548465634,0.9912486064337972,0.7409546833534081,0.8165741389364641,0.9618981172945988,0.8432426522234432,0.8988305851511366,0.1392291785707823,0.9777575986519956,0.9906120566730614,0.9394273081504828,0.7964029993636595,,,0.9754153639249074,0.9710432278539972,0.9312192381959964,0.7181368195572035,0.9173528089520168,0.9801863855442166,0.9764642069222494,0.9626278041727524,0.9609330383473776,,,0.9632567447285794,,
ACH-000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000004,0.7423504349371924,,,,,,,,,,,,,,0.948058553149628,0.9550847058619992,,,,,0.8882007701391204,,,0.9530626635312912,,,,,,,,0.833373117155584,0.9386239188075436,,,,,,,0.9495279669963768,0.9634705144921326,,,,,0.9570615968960005,,0.924617464549638,,0.5919104361668729,,,,,,,0.9573372244941356,,,0.9021097980603848,0.6483634769723906,,0.93841966465584,,,,0.8141413338098797,0.9609618158802784,,,,0.9913954157329262,0.9666019641868956,,,0.7673311674947085,,0.9636800335104896,0.9606148486215071,0.9666042427802944,,0.8501611632394008,0.8235246230862668,,0.9187608934048758,0.8844438981473891,0.9790123765023678,,0.9791305067194906,0.9506663742433736,,0.9681497558028684,0.971338119685426,0.8977825402197092,,0.7337044731648673,0.953208583444246,,0.9227509212754236,0.9268528701123128,,0.9777362145368436,,,0.982424193059904,0.9871536448117778,,0.9227628658808738,0.9584362280526616,0.7200146533415417,0.6844190766221103,0.6630540291324788,0.9713281117968204,0.7730354843201153,0.9543791127479256,0.961053376047018,0.6347360841295094,0.6346066734447627,0.8209753662240978,,0.9578447107116608,0.8956170476584723,0.9604114307955892,0.5160320626867408,0.9586649422982256,0.967283354745312,0.9611618464762584,0.9595419365218352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACH-000006,0.7522501598520733,0.4831735245401025,0.9045841417893352,0.9538913814198344,0.7694784086279146,0.9411716880182504,0.9127675452528649,0.713104737090272,0.9450561939238644,0.9874193849032692,,0.2169835836732228,,,0.7342605095439605,0.7627406509217861,,,0.6574615497150466,0.9862560377918584,,,,,,,0.8897383146124809,0.7716506898502529,0.7109075952618558,,0.945235187332686,,0.637315272377078,0.9236545010268812,0.8506729516976594,,0.8975684878825949,0.2892750532038374,,0.7200696702034589,0.8540616124648504,0.6046853928795579,0.9369956232171124,,,,0.9824916569209872,,0.6018501944820566,,,0.762583880970218,,,0.8652651341221987,0.9338783221018282,0.9715933888582404,0.6821657102681246,0.4600892557894904,,,0.7862402608768001,,0.7714451414870348,0.8008354669316539,0.8734032694106302,,0.906348309245494,0.8315159895209326,,0.2027770384467294,0.9940614482246772,,,0.9747959681216743,0.388073224687216,0.9531944471905146,0.6249672951743838,0.9569189447222796,0.8929070576510871,,,,,0.9084931925468436,,,,,,,,,,,,,,,,,,,0.9643805070921994,,,,,,,,,,,,,,,,,,,,,,,,,0.7659262420051471,0.6788866852412951,0.8837058471825914,0.930035316904388,0.6874099502383291,0.3806503968532452,0.6392056596928836,0.971768906420658,0.959634798247074,0.7838537023427048,0.7568425840160532,0.7521410515086177,0.9528913680597646,0.7957014573698055,0.7733117017351027,0.9894357240628098,0.684973123558722,0.9914679340048914,0.8580258014550725,0.6155285741439954,0.9808714539096698,0.7855442878024971,0.8455031142306714,0.9363362435796336,0.8937524040031307,,0.2396576957521267,0.9901194186036204,0.8107053241364581,0.8865081305727041,0.2248979786849178,0.991466668748112,0.9755891189426458,0.8996366274814359,0.7761546376594045,0.9419993146932591,0.7216399326277094,0.8611822422885276,0.789929775087498,0.9572319681553068,0.8465108295859858,0.9585917049117884,0.9140182815717612,,0.8971427026080455,,
ACH-000007,0.8454659714113164,,0.9712620739813996,,0.8872085520654429,,0.8747398505988201,,,0.9535544137088356,,0.9249987525527406,0.9177618688296316,,,0.9682393326783336,,,,0.822590693121143,0.8680932528990114,,,0.8375916884320286,,0.8071210476277411,0.824458600089871,,0.8481557795279283,0.8741677722262766,0.7750684638633545,0.8295361655722995,0.8023046860727858,0.9100169778326108,,0.8632636667485549,0.9588796523556188,,,0.905283168436832,,,0.954289350571618,,,0.9544450838936116,,0.9502724035129628,0.6287865930134376,0.6719731520746592,0.5164717520213472,,,0.8712651814233425,,,0.9838992938318516,,0.7785810444743179,0.8786606023673884,0.8954593560408679,,0.9645549749651752,0.4390866276559265,0.98272363969859,,0.9419768780143692,0.8643406897507041,,,,0.8338493661167558,0.8064736541886752,0.9759247742606793,,0.7070726127001287,0.9253905402774372,0.7724463953114846,0.9649841973049592,0.7883283987016996,0.9794981105357424,0.9251598885908868,0.8372892390582558,0.9329076954427464,0.9362545112417324,0.9057443154623548,0.9461122277988478,0.9610763053054908,0.9724251087757608,0.9382886796384606,0.9764418140090688,0.9508049851958318,0.969723993921678,0.9232699405442332,0.9712158861365892,0.8564996436775274,0.9742414666680712,0.9629650428997956,0.9594083724086152,0.8956230749457703,,0.9469297244658144,0.9637479449821896,0.9580920360588644,0.9282292200196977,,0.9391465216834312,0.8574432842890519,,0.8270483274922785,0.8672375943122381,0.8286735118508328,0.9477562186770472,0.9352850817281853,,0.993087060481643,0.6714400116102425,0.5770789974665376,0.8317115539559078,0.9660133207474167,0.9718100567527032,0.8441436328166746,0.9343467817117712,0.6928476067996007,0.9701425482360254,0.9410314607411674,0.9750975898422802,0.9431617485555038,,,,,,,,,0.9103940223442868,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7995137825757288,0.6985982698894526,0.8222443333959725,0.9401544763306692,,0.9261629586383348,0.8909931322843566,,0.9479370652767168,0.5864466802860927,
ACH-000008,0.8569784384869817,0.7624413212868761,0.9025455093430452,0.8798636888539327,0.7951265186751153,0.9626441769370206,0.8803689766540221,0.8707359983768931,0.9437000387741248,0.9331649367259364,,0.7333327898575339,,,0.8706947441281992,0.8073214532563974,,,0.8923331492999309,0.8732500986643214,0.9247072220765244,0.9820379009666228,,0.8698276848680172,,0.9044156936145804,0.8994449632456223,0.7394952579679293,0.811613585040977,,0.8168767270917147,0.6957044633447459,0.9154785400746772,0.9160712194773528,0.9333399490690636,0.9566797480539702,0.7929793477781321,0.9619007690144128,,0.9061323638299909,0.9501390111080588,0.935554259244434,,,,0.9673997951042262,0.9254227070765576,0.9625271405710848,0.7307800769181604,0.5906247372660993,0.5517715289508124,0.6087346134770408,,,0.8842893374686348,,0.9580699044669418,0.8113392937081654,,0.9319862140606648,0.8257512239353332,0.8559210801480823,0.9627446008902544,0.6702353116944336,0.6356351894299425,0.9735221933354063,0.9705096437411376,0.9548933399343056,0.7255748205685622,,0.6698032327870944,0.9584586863459827,0.877652408230744,0.8904160862333084,0.942448901878476,0.7907682819617996,0.9662548372820652,0.8730974037467187,0.9539491570251528,0.8066628144063793,,0.9184977526796904,0.8427456051983434,0.9641170520044484,0.9471438788296948,0.9688935119253672,0.8747151184661572,0.9552619274831916,0.2501599841806914,0.8862021309854549,,0.9485349654625372,,0.8684616371090166,0.9517748616114916,0.7949485523620247,0.9544988181654664,0.9411347026139116,0.9163379252757012,0.9308395064540548,,0.9671776291517256,0.9654588421654516,,,0.9618463419518578,,0.9596676207279508,0.9442442719236528,0.8250295072540778,0.8230274101004358,0.8807580153109484,0.9447857180089658,0.9645188803147546,,,0.5911910504301502,0.5404534504461053,0.7921728294724116,0.922129975790296,0.9368201417518282,0.8661787890891404,0.94909445748319,0.5838479263922988,,0.9676882214605984,0.9739604051848598,0.9270756935119168,0.9162517657260808,0.7391104765216197,0.7951863477633155,0.9090068835366696,0.7471385223758875,0.2064855142285868,0.8607552390904383,0.9670372872912786,0.9587246150326478,0.8414730823185304,0.7947079866497009,0.8169477815788084,,0.8853939559916337,0.9435217502221176,,0.7027660874208832,0.9692948414258732,0.9716087723509368,0.5541998726517495,0.9948572196452492,0.9344286550293738,0.9363607890639454,,0.8873496343832417,0.9176130205803706,0.1211909322708327,0.9316959657753626,0.8794126602175171,,0.7602108168127976,0.9521146888063824,0.967612882631142,0.9254485435273632,0.959831679881158,0.9350953906980664,0.7117441126459686,0.8092617160116338,0.8502809107734007,0.9399941287564042,0.8153329935572697,0.9532303790306608,0.9423675501596952,,0.9019088270449412,,
ACH-000009,0.9480276932456744,0.9321176745950008,0.9430523876515292,0.9207766428856872,0.916452853134768,0.9163627227918874,0.8419296956830724,0.8364901778104378,0.9205333521612412,0.9523713928572516,,,0.9640312524584428,,0.8747383642279067,0.9425218414791056,,,0.8909423643729109,0.9646378922413844,0.9111443428399524,0.9656213853118248,,0.9820960507315158,,0.8633781114006156,0.958297116815084,0.7927221585603416,0.767868965469083,0.8804860901126957,0.8792442551138989,0.8167908197841343,0.9336922676407216,0.9084520875864692,,0.9376467185357024,,0.9368088611170734,,0.9701618055667506,0.8737963286608444,0.968782517628482,0.9196326739872716,,,0.949034277799556,0.905997233661906,,0.8243250670917164,0.7141037672569465,0.8726744478146768,0.8412966121530363,,,0.8929566487728433,0.9776500992873234,0.95835426222157,0.8623832656338413,,0.9199788414698482,0.8600443049201063,0.958192477827013,0.9834830425278814,0.8378639150417133,0.966560091929264,,0.9668158137590436,0.9199663193613248,0.9005821708931411,,0.8737987175099191,0.8336240031168209,0.8631604033307307,0.9794307318868876,0.916053179417862,0.7834877967762298,0.9573277849211907,0.8466065200578327,0.9756318807363844,0.8854117869023007,0.9826163139774268,0.9164232054355972,0.9124087041392632,0.9682981957489992,0.9147604271014296,0.985522121809437,0.9241254575470736,0.9743942035013172,0.9557671026727286,0.8926581024120821,,0.9500139204843958,,0.9111344575091505,,0.8759375233108263,,0.9445722781643376,0.9012976984277288,0.9436897119374068,,,,0.955842757736764,0.8852053723377002,0.9600236755469208,0.8315007062037648,0.9109993255989132,0.940769520294792,0.926722463270408,0.9244799723902158,0.9551571784997718,0.9651875826338118,0.9611589518067372,,0.9447032350643226,0.7680730711357814,0.7969441868459605,0.877433998810606,0.8368013688374064,,0.9145133462941476,,0.7290745337146526,,0.8911858240666721,0.981149494244248,0.9328693909396412,0.9361036273102727,0.7306932953684979,0.8545416634167436,0.9428832532870468,0.8239288047804388,0.576192973591258,0.8403347471702411,0.9601485716009612,0.9369487673615622,0.8680898485067141,0.8841409602367378,0.6754676576457439,0.9151325016714572,0.8947570937684708,0.9221683607036824,0.9581737516195054,0.6255712403605145,0.9398662881837176,0.9670487231997404,0.7229793428998953,0.9931561937768844,0.9383860825837432,0.9466343927291928,0.920831368668204,0.8454994966907295,0.8776642120555767,0.2850277906332157,0.9570131174687184,0.8709656122725478,,0.8678420029715921,0.9384965037779848,0.9419371592228142,,,0.9875300171592244,0.9221871967677796,0.8823131980154538,0.9467080077206352,,0.8864865588646301,0.8775619887821804,0.948703293697005,,0.8996071060334876,0.8665980351579305,
ACH-000010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
